Airport_Code,Airport_Name,Region,Best_Positive_Dist,Best_Positive_AIC,Best_Positive_KS_PValue,Positive_Evidence,Best_Negative_Dist,Best_Negative_AIC,Negative_Evidence,Sample_Size_Positive,Sample_Size_Negative,P95_Positive,P95_Negative
EGLL,London Heathrow,Europe,Burr XII,3934894.07149503,9.497963165928149e-13,Very Strong,Burr XII,443981.3291883066,Very Strong,484981,75070,56.851305076075626,20.564907369946443
LFPG,Paris Charles de Gaulle,Europe,Burr XII,3011982.826534749,5.21585073630109e-07,Very Strong,Burr XII,1007358.0293008878,Very Strong,409104,172680,42.39029078209977,19.25703191839893
EHAM,Amsterdam Schiphol,Europe,Burr XII,3444991.007441948,0.0001001812743773,Very Strong,Burr XII,814049.6827116023,Very Strong,455426,140663,47.06400402333631,17.682323947545974
EDDF,Frankfurt,Europe,Burr XII,2285111.5400194423,4.950402379553849e-34,Very Strong,Burr XII,1659351.6853466702,Very Strong,311706,260863,47.64669011922154,22.794256454468837
LEMD,Madrid Barajas,Europe,Burr XII,2284126.576654728,9.140693806227389e-06,Very Strong,Burr XII,939524.4770755258,Very Strong,318721,157813,37.846733498970494,19.173019439260106
LEBL,Barcelona,Europe,Burr XII,1802157.523914897,4.106126559406719e-05,Very Strong,Burr XII,768164.4374290273,Very Strong,250813,131394,39.43806235029378,18.660305218197347
EDDM,Munich,Europe,Burr XII,1703410.5629546964,3.8603872324154254e-41,Very Strong,Burr XII,1183971.6744514664,Very Strong,246287,198482,34.71795473476085,18.583831167974196
EGKK,London Gatwick,Europe,Burr XII,1874977.839534007,3.96282300094602e-05,Very Strong,Burr XII,461223.21398072335,Very Strong,239448,76669,51.476114878026166,20.90909402187785
LIRF,Rome Fiumicino,Europe,Burr XII,1062490.6510897048,8.032398945917189e-12,Very Strong,Burr XII,1244495.9662939466,Very Strong,153381,192028,35.61000932663419,22.734824360483262
EIDW,Dublin,Europe,Burr XII,961418.8288641104,1.2390942184220118e-06,Very Strong,Burr XII,855303.3775049323,Very Strong,134851,131291,38.9834209824348,24.92086385232565
LATI,Tirana,Balkans,Burr XII,156415.87366527566,1.1043823437238089e-06,Very Strong,Burr XII,81551.39243092216,Very Strong,22958,13284,27.134872299846528,23.192117853004497
LQSA,Sarajevo,Balkans,Burr XII,66567.81384539264,0.4136611323160637,Very Strong,Burr XII,31410.322196335528,Very Strong,9457,5107,34.432813777599,22.08338764601883
LBSF,Sofia,Balkans,Burr XII,229438.2438561368,0.016477939382892,Very Strong,Burr XII,222092.17775284324,Very Strong,33755,34114,31.90700484004796,25.54389124833054
LBBG,Burgas,Balkans,Burr XII,72388.67692803909,0.1070864481252915,Very Strong,Burr XII,79346.68524073303,Very Strong,10507,12185,33.84689474514646,25.080772004297177
LDZA,Zagreb,Balkans,Burr XII,197868.18821504683,0.0691918989682697,Very Strong,Burr XII,131335.22736252617,Very Strong,29373,21709,30.82233185385763,19.83044753355028
LDSP,Split,Balkans,Burr XII,129997.3981865284,0.4121809620512695,Very Strong,Burr XII,63304.21742026131,Very Strong,18956,10701,31.864538713085608,19.394053654126896
LDDU,Dubrovnik,Balkans,Burr XII,89910.53749208665,0.6624030829288066,Very Strong,Burr XII,56267.77602841622,Very Strong,13236,9273,31.231067001996163,20.445260047002197
BKPR,Pristina,Balkans,Burr XII,90816.74270700576,0.0936599529213652,Very Strong,Burr XII,48030.110873859405,Very Strong,13072,8059,32.38091061676584,19.50524048209594
LYTV,Tivat,Balkans,Burr XII,55832.9390157482,0.1393527067317642,Very Strong,Burr XII,34911.47743241678,Very Strong,8053,5777,33.81102969362735,19.48531193017443
LWSK,Skopje,Balkans,Burr XII,78567.9787881668,0.0002293734409818,Very Strong,Burr XII,61451.7754069064,Very Strong,11374,9559,31.748316820975763,24.484727197313536
