Airport,Monthly Variation,Daily Variation,Hourly Variation,Airport Name
BKPR,6.025231070979997,0.9640332424871917,5.317635490800817,Pristina
EDDF,1.3067479523378427,0.682669689843907,29.54757200982472,Frankfurt
EDDM,265.53738881890115,0.6151198850005826,6.966815664871872,Munich
EGKK,17.3611658205562,1.716452781674942,4.927647554378875,London Gatwick
EGLL,208.60652088907776,0.8424224875869948,84.34372917279121,London Heathrow
EHAM,13.775075394640293,1.0891469447095432,3.567698562337864,Amsterdam Schiphol
EIDW,18.08704707059344,1.03135691111897,3.622613853704977,Dublin
LATI,13.265415080879235,0.5321286600912919,2.9035994267243184,Tirana
LBBG,12.652151751994914,1.0121033596537508,2.0030666358343248,Burgas
LBSF,11.920059294323453,0.9242783289407304,3.3225334238798787,Sofia
LDDU,2.2479053656192076,0.9746921121345504,1.6364230115712175,Dubrovnik
LDSP,2.634906580762918,0.9662820615662572,2.526553271299525,Split
LDZA,1.7450575662891314,0.689087230132224,2.9835667620209776,Zagreb
LEBL,16.805622215099405,1.3143940147522686,3.5340321465459326,Barcelona
LEMD,31.40616419076817,0.599132639149731,2.877483962643136,Madrid Barajas
LFPG,112.6250371035835,0.8932767589594415,4.108932431087903,Paris Charles de Gaulle
LIRF,12.239547516893811,0.763454254403569,2.2626509472929826,Rome Fiumicino
LQSA,1.9540947625514151,1.6118450742830013,8.616077513135803,Sarajevo
LWSK,2.2397994576016518,0.9553681700273657,4.794932869199653,Skopje
LYTV,2.2998098900427197,1.0701776793020326,12.432329984530005,Tivat
